date,voltage,current,power,energy,frequency,power_factor,alarm
2022-12-23 03:30,224.9762076381155,0.7357471307741767,107.53608150576568,30308,49.99999999998822,0.6500000788370399,0.0
2022-12-23 03:35,224.56903306230356,0.7271736004340437,106.24852606543213,30317,49.99999684095383,0.65,0.0
2022-12-23 03:40,224.86366500072978,0.7153441331049712,104.29847138435781,30326,49.99998474100134,0.65,0.0
2022-12-23 03:45,224.71971092701045,0.7336644142822922,106.38465352881424,30334,49.99999987609808,0.6422897138614576,0.0
2022-12-23 03:50,224.85046426483854,0.7275407626959305,105.28330265493956,30343,50.0,0.6417262708744185,0.0
2022-12-23 03:55,224.74494595299703,0.7245257303182011,104.0269697895663,30352,50.0,0.6400000000000001,0.0
2022-12-23 04:00,224.6879470348347,0.7218397165971222,104.14364671502304,30361,49.99999999999996,0.6400012208591215,0.0
2022-12-23 04:05,224.06134620003786,0.2622663611124154,31.450886048850023,30369,49.965625,0.5373817516124109,0.0
2022-12-23 04:10,223.77421392948492,0.25218297748412855,29.03988971174139,30376,49.99999999505235,0.5146184100925008,0.0
2022-12-23 04:15,224.0006393376471,0.2547238386604693,29.82927000337541,30379,50.0,0.5250982980951284,0.0
2022-12-23 04:20,223.68320736396257,0.2538692607612538,29.630940848590527,30381,49.99979858090664,0.52247712439055,0.0
2022-12-23 04:25,223.4555452586996,0.25428954716323826,29.681294837973027,30384,49.956103514134576,0.5224957906903098,0.0
2022-12-23 04:30,223.60088880066792,0.25122688417889305,29.230407966143396,30386,49.99960937483255,0.520272311082981,0.0
2022-12-23 04:35,223.35470084473673,0.2589870468771774,30.85791614520197,30388,49.998039128570056,0.5360859341735341,0.0
2022-12-23 04:40,222.99716962286442,0.24874354341077826,28.467411814241288,30391,49.97725573184922,0.5104787678772826,0.0
2022-12-23 04:45,223.1284686346634,0.25545537982664146,30.120165547240838,30393,49.97327144358063,0.5304697277784112,0.0
2022-12-23 04:50,223.21332785623724,0.25575410697993706,30.136431581154,30396,49.999993884563445,0.529085250071293,0.0
2022-12-23 04:55,222.60173943331336,0.25356472124927387,29.314080882379706,30399,49.98507966985862,0.5173969441345232,0.0
2022-12-23 05:00,222.56398190004697,0.2571600338161155,30.22212989869054,30401,50.0,0.5259735331375606,0.0
2022-12-23 05:05,222.20848024178784,0.26175715747696937,31.276326636968783,30403,50.0,0.5370225757998179,0.0
2022-12-23 05:10,221.6855074011267,0.25381078682206704,29.303677207065363,30406,50.0,0.5211967632722713,0.0
2022-12-23 05:15,222.2014333233625,0.25130861719359765,29.00473082684759,30409,49.990502945985625,0.5202586325935834,0.0
2022-12-23 05:20,223.41478938882102,0.25238986298383176,29.51670997242335,30411,49.907810592651366,0.5258931811226383,0.0
2022-12-23 05:25,223.25096059362122,0.2573437725518452,30.4081086097917,30414,49.97069091487205,0.531357167236848,0.0
2022-12-23 05:30,223.28383735401866,0.25506221582633753,30.084183497116534,30416,49.997654722630955,0.5294341457578498,0.0
2022-12-23 05:35,223.37053779670225,0.6900285893395707,101.23611149251728,30419,49.95079907186731,0.6592968797968044,0.0
2022-12-23 05:40,224.28094672782936,0.7315813312136501,113.5160081791849,30424,49.90044044869252,0.6900000238435313,0.0
2022-12-23 05:45,224.4370727882261,0.3023281282857736,43.05528644690536,30433,49.94764327898156,0.6323692799519995,0.0
2022-12-23 05:50,223.97990078792168,0.257736377231355,30.40895993506747,30440,49.99667892456055,0.5279622209294474,0.0
2022-12-23 05:55,224.1994872475037,0.25073997346886956,28.941445314249417,30443,49.92610568942533,0.5169498535592358,0.0
2022-12-23 06:00,225.29648081488563,0.2583855128064409,31.22044647015231,30446,49.999999999999744,0.5352446946145388,0.0
2022-12-23 06:05,224.8720917480705,0.26807613130440344,33.02788805219787,30448,50.0,0.5464348612595947,0.0
2022-12-23 06:10,224.7670547672545,0.2525427395790274,29.152944086953095,30451,49.998435974109455,0.5124168766114477,0.0
2022-12-23 06:15,224.00297900702935,0.7283524635034573,109.27416952456639,30454,50.0,0.6696878525667573,0.0
2022-12-23 06:20,224.55044599281732,0.8773568941645511,140.96909381275586,30459,50.0,0.7173385614156724,0.0
2022-12-23 06:25,223.60406577607176,0.8058041366406532,125.61656700220323,30471,50.0,0.6993750000008639,0.0
2022-12-23 06:30,222.7625898146391,0.7557284566988647,114.72026884577322,30482,49.91827366303987,0.6800441336631782,0.0
2022-12-23 06:35,223.82555918735017,0.7154136545690519,107.55973705125825,30493,49.99791471660101,0.6700003435276449,0.0
